about,prefLabel,altLabel,broader,facetaAcronimo,faceta
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 2ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::2ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 2ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::2ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 3ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::3ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 3ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::3ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 3ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::3ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 4ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::4ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 4ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::4ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 4ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::4ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.1,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 1ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::1ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.2,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 2ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::2ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.3,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 3ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::3ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.4,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 4ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::4ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.5,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 5ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::5ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.6,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 6ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::6ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.7,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 7ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::7ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.8,"Conselho Administrativo de Recursos Fiscais. 1ª Seção de Julgamento. 8ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::1ª Seção de Julgamento::8ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento",2SJ,#conselho.administrativo.recursos.fiscais,2SJ – 2ª Seção de Julgamento,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 1ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::1ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 1ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::1ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 1ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::1ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 2ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::2ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 2ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::2ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 2ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::2ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 3ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::3ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 3ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::3ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 3ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::3ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 4ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::4ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 4ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::4ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 4ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::4ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.3,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 4ª Câmara. 3ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::4ª Câmara::3ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.1,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 1ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::1ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.2,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 2ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::2ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.3,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 3ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::3ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.4,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 4ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::4ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.5,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 5ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::5ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.6,"Conselho Administrativo de Recursos Fiscais. 2ª Seção de Julgamento. 6ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.2,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::2ª Seção de Julgamento::6ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento",3SJ,#conselho.administrativo.recursos.fiscais,3SJ – 3ª Seção de Julgamento,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 1ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::1ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 1ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::1ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 1ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::1ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 2ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::2ª Câmara
